url,page_type,primary_query,impressions,ctr,avg_position,estimated_click_uplift,estimated_business_value,technical_scope,status_code,technical_priority,current_problem,recommended_action,selection_score,execution_wave
https://www.biyapay.com/en/blogdetail/2320-how-the-chase-withdrawal-limit-works-for-your-acco,blogdetail,chase atm withdrawal limit,113076,0.16,4.98,3207,medium,www_0518,502,P0,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,2707,wave_1
https://www.biyapay.com/blogdetail/1071-what-is-the-withdrawal-limit-of-chase-an,blogdetail,chase atm withdrawal limit,88944,0.18,3.92,2510,medium,out_of_www_0518_scope,,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,2510,wave_1
https://www.biyapay.com/en/blogdetail/1058-telephone-area-codes-in-mexico-a-guide-to-calling,blogdetail,+52 country code,74215,0.05,6.63,1074,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1374,wave_1
https://www.biyapay.com/en/blogdetail/1054-what-is-the-withdrawal-limit-of-bank-of,blogdetail,atm withdrawal limit bank of america,69778,0.05,8.75,1014,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1314,wave_1
https://www.biyapay.com/en/blogdetail/2572-wechat-realname-authentication-how-overseas-users,blogdetail,wechat real name verification,37273,0.35,4.47,987,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1287,wave_1
https://www.biyapay.com/zh/converter/JPY-HKD-converter,converter,,18017,0.07,9.23,258,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1258,wave_1
https://www.biyapay.com/zh/converter/EUR-USD-converter,converter,,7825,0.05,9.42,113,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1113,wave_1
https://www.biyapay.com/zh/converter/THB-USD-converter,converter,泰铢兑美金,6863,0.09,8.88,97,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1097,wave_1
https://www.biyapay.com/zh/converter/JPY-USD-converter,converter,30万日元等于多少美金,6420,0.08,8.96,91,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1091,wave_1
https://www.biyapay.com/zh/converter/PHP-USD-converter,converter,1比索等于多少美元,4356,0.07,8.89,62,high,www_0518,200,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1062,wave_1
https://www.biyapay.com/en/converter/AED-PKR-converter,converter,,3748,0.03,9.45,55,high,www_0518,200,P2,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add rate summary, fee/amount context, FAQ, and currency-grid internal links",1055,wave_1
https://www.biyapay.com/compare/best-USD-PHP-exchange-rate?amount=1500,compare,1500 dollars to philippine peso,22598,0.0,7.89,338,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",1038,wave_1
https://www.biyapay.com/en/blogdetail/1071-what-is-the-withdrawal-limit-of-chase-and-can-it-b,blogdetail,how much can i withdraw from chase atm,54830,0.17,6.94,728,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1028,wave_1
https://www.biyapay.com/en/blogdetail/2219-does-zelle-work-internationally-why-you-cant-use-i,blogdetail,does zelle work in india,49491,0.06,6.69,710,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,1010,wave_1
https://www.biyapay.com/en/blogdetail/2056-what-are-the-costs-of-using-bank-of-america-cards,blogdetail,bank of america debit card foreign transaction fee,51194,0.14,8.34,698,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,998,wave_2
https://www.biyapay.com/compare/best-AED-INR-exchange-rates?amount=3000,compare,,16146,0.01,8.12,241,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",941,wave_2
https://www.biyapay.com/compare/best-AED-INR-exchange-rate?amount=1500,compare,1500 dirhams in rupees,14283,0.01,8.99,212,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",912,wave_2
https://www.biyapay.com/en/blogdetail/1983-a-complete-guide-to-chatgpt-plans-and-costs-in-the,blogdetail,how much is chatgpt plus uk,42947,0.13,7.71,588,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,888,wave_2
https://www.biyapay.com/compare/best-USD-PKR-exchange-rate?amount=1500,compare,,12604,0.01,6.88,188,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",888,wave_2
https://www.biyapay.com/compare/best-USD-GBP-exchange-rate?amount=1500,compare,,11778,0.0,8.57,177,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",877,wave_2
https://www.biyapay.com/en/blogdetail/2133-how-much-does-chase-charge-for-international-wire,blogdetail,chase international wire transfer fee,41827,0.16,9.56,558,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,858,wave_2
https://www.biyapay.com/compare/best-JPY-USD-exchange-rates?amount=1500,compare,,7960,0.0,8.18,119,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",819,wave_2
https://www.biyapay.com/compare/best-USD-INR-exchange-rate?amount=1500,compare,,7717,0.0,8.41,116,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",816,wave_2
https://invest.biyapay.com/en/markets/stocks/hk/hot-concept/bk1516-tencent-backed,stock,tencent69806,66904,0.0,8.94,1004,medium,out_of_www_0518_scope,,P1,Very low CTR relative to impressions,Improve SERP match and determine whether page should target trading intent or informational intent,804,wave_2
https://www.biyapay.com/en/blogdetail/523-can-you-cancel-an-apple-pay-payment-refund-steps-t,blogdetail,how to cancel apple pay payment,37791,0.19,6.05,497,medium,www_0518,200,P1,High-impression blog page with weak SERP click-through or weak commercial handoff,Improve title/snippet and add stronger product handoff modules and related-tool internal links,797,wave_2
https://www.biyapay.com/compare/best-USD-AUD-exchange-rate?amount=1500,compare,,6153,0.02,8.67,91,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",791,wave_2
https://www.biyapay.com/compare/best-PHP-USD-exchange-rates?amount=20000,compare,,5915,0.0,9.43,89,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",789,wave_2
https://www.biyapay.com/compare/best-EUR-USD-exchange-rates?amount=1500,compare,1500 euro to usd,5267,0.02,8.71,78,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",778,wave_2
https://www.biyapay.com/compare/best-JPY-USD-exchange-rate?amount=1500,compare,,4969,0.0,6.88,75,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",775,wave_2
https://www.biyapay.com/compare/best-HKD-USD-exchange-rate?amount=1500,compare,1500 hong kong dollars to usd,5089,0.04,6.81,74,high,out_of_www_0518_scope,,P1,Template page has search visibility but weak click capture and likely weak intent match,"Rewrite title/meta, add clear comparison summary, strengthen first-screen data and related links",774,wave_2
